Secondary study DOI,Primary study Scopus EID,Primary study DOI,Title,Abstract,Keywords,Publication venue,Publication date,Publication type,Authors,Ground truth,Reason
10.1016/j.infsof.2022.107144,2-s2.0-85076144241,,"10th International Conference on Software Business, ICSOB 2019","The proceedings contain 38 papers. The special focus in this conference is on Software Business. The topics include: Educational innovations and gamification for fostering training and testing in software implementation projects; improving a startup learning framework through an expert panel; a board game to teach team composition in software startups; Does self-efficacy matter? on the correlation of self-efficacy and creativity in IT education; hard competencies satisfaction levels for software engineers: A unified framework; how software startup teams reflect: Approaches, triggers and challenges; amidst uncertainty – or not? decision-making in early-stage software startups; there’s no business like software business: Trends in software intensive business research; customer churn prediction in B2B contexts; online multiplayer games for crowdsourcing the development of digital assets: The case of ingress; Organizational innovativeness relies on business and IT alignment; MVP development process for software startups; technical debt trade-Off - Experiences from software startups becoming grownups; a dynamic software startup competency model; objectives and challenges in finnish software companies 2018 - Interview of 99 finnish software development firms; The impact of IT bootcamp on student learning - Experience from ICT enabled experiential-based course; implementing artificial intelligence ethics: A tutorial; A SECO meta-model: A common vocabulary of the SECO research domain; towards an understanding of iIoT ecosystem evolution - mindsphere case study; identifying architecture attributes in the context of software ecosystems based on a mapping study; activities and challenges in the planning phase of a software ecosystem; API management challenges in ecosystems; preface.",,Lecture Notes in Business Information Processing,2019-01-01,Conference Review,,Include,IC1
10.1016/j.infsof.2022.107144,2-s2.0-79953681609,10.1117/12.873726,20 Gbps optical link with high efficiency 1060 nm VCSEL,"Measurement results of a high speed, low power single channel optical link operating at 1060 nm are presented. The link is composed of low power VCSEL devices fabricated and provided by Furukawa Electric Co. Ltd. and a low cost OM2 fiber. Clear eye openings are observed at 20 Gbps with a 2 mA DC bias. A modulation voltage of 150 mVp-p results in a -4.1 dBm OMA at the fiber output in a back-to-back configuration, with 0.19 unit amplitude eye opening and 32 ps total jitter extrapolated to a 10-12 bit error ratio. The insertion of a 100 m-long OM2 fiber causes a small signal degradation due to low attenuation and dispersion. For an ideal index profile optimized for dual wavelength operation (850 and 1300 nm), the minimum modal dispersion of the fiber is in the vicinity of the current operation wavelength.",Dual-band OM2 fiber | High performance computing | High speed transmitter | InGaAs | Low power VCSEL | Optical interconnect,Proceedings of SPIE - The International Society for Optical Engineering,2011-04-11,Conference Paper,"Héroux, Jean Benoit;Takaki, Keishi;Tokunari, Masao;Nakagawa, Shigeru",Include,IC1
10.1016/j.infsof.2022.107144,2-s2.0-84949238790,,"4th European Workshop on Software Process Technology, EWSPT 1995","The proceedings contain 33 papers. The special focus in this conference is on Metrics and Analysis Session. The topics include: Metrics and analysis session; process viewpoints; process-based software risk assessment; the use of roles and measurement to enact project plans in MVP-S; combining process models and metrics in practice; application experiments; space shuttle onboard software (OBS) development and maintenance process automation; a tentative characterisation; a survey and comparison of some research areas relevant to software process modeling; customising software process models; process differentiation and integration; open issues in the design of pm languages; in favour of a coherent process coding language; process modelling languages: one or many?; experiments in process interface descriptions, visualizations and analyses; related domains; the software process and the modelling of complex systems; interpretable process models for software development and workflow; integrating process technology and CSCW; distributed modelling session; process management in-the-many; a generalized multi-view approach; decentralised process modelling; coordination by behavioural views and communication patterns; configuration of situational process models; mechanisms for cooperation; current issues on integration; enveloping persistent tools for a process-centered environment; coordination for process support is not enough; coordination theory and software process technology; transaction technology for process modelling; stepwise specification of interactive processes in coo; session on change and meta-process; a reflexive formal software process model; transients change processes in process centered environments.",,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),1995-01-01,Conference Review,,Include,IC1
10.1016/j.infsof.2022.107144,2-s2.0-85032920588,,"4th International Conference on Lean Enterprise Software and Systems, LESS 2013","The proceedings contain 14 papers. The special focus in this conference is on Lean Enterprise Software and Systems. The topics include: Fuzzy cognitive maps as decision support tools for investigating critical agile adoption factors; agile project – an oxymoron? Proposing an unproject leadership model for complex space; exploring the tensions between software project portfolio management and agile methods: A research in progress paper; lean software development – what exactly are we talking about?; lean software development measures and indicators - A systematic mapping study; bringing total quality in to software teams: A frame for higher performance; improving development visibility and flow in large operational organizations; a brief history of budgeting: Reflections on beyond budgeting, its link to performance management and its appropriateness for software development; case study in responsive web design: Pragmatic agile and hero team approach - Time and cost savings with quality improvement; success factors in new service development - Digia flowd analysis; creating minimum viable products in industry-academia collaborations; preface.",,Lecture Notes in Business Information Processing,2013-01-01,Conference Review,,Include,IC1
10.1016/j.infsof.2022.107144,2-s2.0-85058519413,,"9th International Conference on Software Business, ICSOB 2018",The proceedings contain 12 papers. The special focus in this conference is on Software Business. The topics include: Changing and pivoting the business model in software startups; From MVPs to pivots: A hypothesis-driven journey of two software startups; Modeling support for strategic API planning and analysis; software ecosystem health of cryptocurrencies; benchmarking privacy policies in the mobile application ecosystem; artifact compatibility for enabling collaboration in the artificial intelligence ecosystem; continuous software portfolio performance management; generating win-win strategies for software businesses under coopetition: A strategic modeling approach; exploring business model changes in software-as-a-service firms; determinants for the success of software startups: Insights from a regional cluster.,,Lecture Notes in Business Information Processing,2018-01-01,Conference Review,,Include,IC1
10.1016/j.infsof.2022.107144,2-s2.0-85030237703,10.1109/ICME.2017.8019451,A block level adaptive MV resolution for video coding,"The latest video coding standard, HEVC, uses quarter pixel motion vector (MV) resolution for motion compensation. The adaptation of MV resolution supported by PMVR (progressive MV resolution) brings further improvement of the performance, by progressively adjusting the resolution according to the distance between the MV and the MV predictor (MVP). In this work, we propose to improve PMVR by adapting MV resolution at the prediction unit (PU) level relying on its size and its average absolute gradient. We additionally perform a smarter motion estimation around multiple MV predictors to fully take advantage of the proposed scheme. Compared to HEVC reference software (HM-16.6), the proposed method provides 1.2%, 3.2% and 1.2% average BD rate savings respectively for random access (RA), low-delay P (LP) and low-delay (LD) configurations.",HEVC | Motion compensation | Motion vector resolution | PMVR,Proceedings - IEEE International Conference on Multimedia and Expo,2017-08-28,Conference Paper,"Ray, Bappaditya;Jung, Joel;Larabi, Mohamed Chaker",Include,IC1
10.1016/j.infsof.2022.107144,2-s2.0-0041521307,10.1109/CMPASS.1992.235756,A case study in process representation using MVP-L,"Explicit, formal representations of software processes are needed to help understand software development and maintenance processes, to analyze these processes prior to execution, to guide the execution of these processes, and finally to improve software processes in an evolutionary fashion. The creation of formal process representations includes activities such as requirements analysis, specification, design, coding, integration, and testing. We conducted a case study within TRW which involved the creation of formal process specifications and designs using MVP-L, an existing process notation. This paper describes the study, the lessons learned about process representation in general, and the lessons learned about the language MVP-L in detail.",Case study | Language assessment | Process design | Process representation | Process specification | Software process modeling,COMPASS 1992 - Proceedings of the 7th Annual Conference on Computer Assurance,1992-01-01,Conference Paper,"Klingler, Carol Diane;Neviaser, Melissa;Marmor-Squires, Ann;Lott, Christopher M.;Rombach, H. Dieter",Include,IC1
10.1016/j.infsof.2022.107144,2-s2.0-85032656154,10.1007/978-3-319-68121-4_30,A coding efficiency improvement algorithm for future video coding,"Motion estimation is critical in motion coding. However, the fixed pattern of search center decision method in HEVC is lack of precision. Taking advantage of the surrounding coding unit information, a universal motion vector prediction framework is presented to improve the coding efficiency in HEVC. The proposed framework is composed of two parts: motion vector prediction (MVP) and search range (SR) selection. Firstly, a novel motion vector prediction (NMVP) method is presented to improve the coding efficiency. Secondly, an adaptive search range selection (ASRS) method is developed to reduce the coding complexity in motion estimation. The simulation results demonstrate that the overall bitrate can be reduced by 5.49% on average, up to 9.18% compared with HEVC reference software.",Coding efficiency | High efficiency video coding | Motion vector prediction | Search range,IFIP Advances in Information and Communication Technology,2017-01-01,Conference Paper,"Jiang, Xiantao;Wang, Xiaofeng;Yang, Yadong;Song, Tian;Shi, Wen;Katayama, Takafumi",Include,IC1
10.1016/j.infsof.2022.107144,2-s2.0-85064160262,10.1109/LASCAS.2019.8667555,A Dependency-Free Real-Time UHD Architecture for the Initial Stage of HEVC Motion Estimation,"Novel coding tools and algorithms were proposed in the High Efficiency Video Coding Standard (HEVC), and are still being proposed over the HM reference software in order to achieve a better compression efficiency, decrease encoding time, make its stages suitable for hardware implementation, and other independent improvements. Particularly, for the initial stage of the motion estimation (ME) process, the Advanced Motion Vector Prediction (AMVP) and the Dynamic Search Range (DSR) algorithms were introduced in the field targeting the determination of the motion vector predictor (MVP), also used as the search center, and search range (SR), which are parameters needed in the subsequent steps of motion estimation (ME). However, the significant complexity of these new tools enhances the need to develop hardware (HW) accelerators. Furthermore, in the field of HW architectures for video compression, techniques that solve dependency problems (which are detrimental to performance)-in this case, between sub-stages of ME-were proposed by some authors. Thereupon, an integrated and synchronized dependency-free HW architecture for the initial stage of the ME process-regarding MV prediction and SR calculation-is proposed in this paper. Synthesis results on a middle ground FPGA (Kintex-7 xc7k70tfbv676-1) show that the integrated architecture can achieve a throughput up to 8K at 72 frames-per-second (4:2:2 subsampling) while using a maximum of 7.04% of the FPGA resources (on slice LUT's).",FPGA Design | HEVC | Motion Estimation | Motion Vector Prediction | Search Range,"2019 IEEE 10th Latin American Symposium on Circuits and Systems, LASCAS 2019 - Proceedings",2019-03-14,Conference Paper,"Chaudhry, Haris;Raffo, Mario;Silva-Cardenas, Carlos;Villegas, Cristopher",Include,IC1
10.1016/j.infsof.2022.107144,2-s2.0-78651583358,10.1007/978-90-481-2311-7_45,A dynamic modeling of stock prices and optimal decision making using MVP theory,"In this paper, first a precise mathematical model is obtained for four competing or cooperating companies' stock prices and then the optimal buy/sell signals are ascertained for five different agents which are trading in a virtual market and are trying to maximize their wealth over 1 trading year period. The model is so that gives a good prediction of the next 30th day stock prices. The companies used in this modeling are all chosen from Boston Stock Market. Genetic Programming (GP) is used to produce the predictive mathematical model. The interaction among companies and the effect imposed by each of five agents on future stock prices are also considered in our modeling. Namely, we have chosen eight companies in order that there is some kind of interrelation among them. Comparison of the GP models with Artificial Neural Networks (ANN) and Neuro-Fuzzy Networks (trained by the LoLiMoT algorithm) shows the superior potential of GP in prediction. Using these models; five players, each with a specific strategy and all with one common goal (wealth maximization), start to trade in a virtual market. We have also relaxed the short-sales constraint in our work. Each of the agents has a different objective function and all are going to maximize themselves. We have used Particle Swarm Optimization (PSO) as an evolutionary optimization method for wealth maximization. © 2009 Springer Netherlands.",Genetic Programming | Mean-variance portfolio selection | Particle Swarm Optimization (PSO) | Price prediction | Stock market model,Lecture Notes in Electrical Engineering,2009-09-25,Conference Paper,"Rajabioun, Ramin;Rahimi-Kian, Ashkan",Include,IC1
