Secondary study DOI,Primary study Scopus EID,Primary study DOI,Title,Abstract,Keywords,Publication venue,Publication date,Publication type,Authors,Ground truth,Reason
10.1016/j.jss.2022.111515,2-s2.0-84855465840,10.1109/ASE.2011.6100046,"DC2: A framework for scalable, scope-bounded software verification","Software model checking and static analysis have matured over the last decade, enabling their use in automated software verification. However, lack of scalability makes these tools hard to apply. Furthermore, approximations in the models of program and environment lead to a profusion of false alarms. This paper proposes DC2, a verification framework using scope-bounding to bridge these gaps. DC2 splits the analysis problem into manageable parts, relying on a combination of three automated techniques: (a) techniques to infer useful specifications for functions in the form of pre- and post-conditions; (b) stub inference techniques that infer abstractions to replace function calls beyond the verification scope; and (c) automatic refinement of pre- and post-conditions from false alarms identified by a user. DC2 enables iterative reasoning over the calling environment, to help in finding non-trivial bugs and fewer false alarms. We present an experimental evaluation that demonstrates the effectiveness of DC2 on several open-source and industrial software projects. © 2011 IEEE.",,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",2011-12-01,Conference Paper,"Ivančić, Franjo;Balakrishnan, Gogul;Gupta, Aarti;Sankaranarayanan, Sriram;Maeda, Naoto;Tokuoka, Hiroki;Imoto, Takashi;Miyazaki, Yoshiaki",Exclude,out of comments scope
10.1016/j.jss.2022.111515,2-s2.0-84855417563,10.1109/ASE.2011.6100058,Iterative mining of resource-releasing specifications,"Software systems commonly use resources such as network connections or external file handles. Once finish using the resources, the software systems must release these resources by explicitly calling specific resource-releasing API methods. Failing to release resources properly could result in resource leaks or even outright system failures. Existing verification techniques could analyze software systems to detect defects related to failing to release resources. However, these techniques require resource-releasing specifications for specifying which API method acquires/releases certain resources, and such specifications are not well documented in practice, due to the large amount of manual effort required to document them. To address this issue, we propose an iterative mining approach, called RRFinder, to automatically mining resource-releasing specifications for API libraries in the form of (resource-acquiring, resource-releasing) API method pairs. RRFinder first identifies resource-releasing API methods, for which RRFinder then identifies the corresponding resource-acquiring API methods. To identify resource-releasing API methods, RRFinder performs an iterative process including three steps: model-based prediction, call-graph-based propagation, and class-hierarchy-based propagation. From heterogeneous information (e.g., source code, natural language), the model-based prediction employs a classification model to predict the likelihood that an API method is a resource-releasing method. The call-graph-based and class-hierarchy-based propagation propagates the likelihood information across methods. We evaluated RRFinder on eight open source libraries, and the results show that RRFinder achieved an average recall of 94.0% with precision of 86.6% in mining resource-releasing specifications, and the mined specifications are useful in detecting resource leak defects. © 2011 IEEE.",resource leak detection | resource-releasing specification | specification mining,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",2011-12-01,Conference Paper,"Wu, Qian;Liang, Guangtai;Wang, Qianxiang;Xie, Tao;Mei, Hong",Exclude,out of comments scope
10.1016/j.jss.2022.111515,2-s2.0-84855424476,10.1109/ASE.2011.6100061,Towards more accurate retrieval of duplicate bug reports,"In a bug tracking system, different testers or users may submit multiple reports on the same bugs, referred to as duplicates, which may cost extra maintenance efforts in triaging and fixing bugs. In order to identify such duplicates accurately, in this paper we propose a retrieval function (REP) to measure the similarity between two bug reports. It fully utilizes the information available in a bug report including not only the similarity of textual content in summary and description fields, but also similarity of non-textual fields such as product, component, version, etc. For more accurate measurement of textual similarity, we extend BM25F - an effective similarity formula in information retrieval community, specially for duplicate report retrieval. Lastly we use a two-round stochastic gradient descent to automatically optimize REP for specific bug repositories in a supervised learning manner. We have validated our technique on three large software bug repositories from Mozilla, Eclipse and OpenOffice. The experiments show 10-27% relative improvement in recall rate@k and 17-23% relative improvement in mean average precision over our previous model. We also applied our technique to a very large dataset consisting of 209,058 reports from Eclipse, resulting in a recall rate@k of 37-71% and mean average precision of 47%. © 2011 IEEE.",,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",2011-12-01,Conference Paper,"Sun, Chengnian;Lo, David;Khoo, Siau Cheng;Jiang, Jing",Exclude,out of comments scope
10.1016/j.jss.2022.111515,2-s2.0-84855461930,10.1109/ASE.2011.6100069,Finding relevant answers in software forums,"Online software forums provide a huge amount of valuable content. Developers and users often ask questions and receive answers from such forums. The availability of a vast amount of thread discussions in forums provides ample opportunities for knowledge acquisition and summarization. For a given search query, current search engines use traditional information retrieval approach to extract webpages containing relevant keywords. However, in software forums, often there are many threads containing similar keywords where each thread could contain a lot of posts as many as 1,000 or more. Manually finding relevant answers from these long threads is a painstaking task to the users. Finding relevant answers is particularly hard in software forums as: complexities of software systems cause a huge variety of issues often expressed in similar technical jargons, and software forum users are often expert internet users who often posts answers in multiple venues creating many duplicate posts, often without satisfying answers, in the world wide web. To address this problem, this paper provides a semantic search engine framework to process software threads and recover relevant answers according to user queries. Different from standard information retrieval engine, our framework infer semantic tags of posts in the software forum threads and utilize these tags to recover relevant answer posts. In our case study, we analyze 6,068 posts from three software forums. In terms of accuracy of our inferred tags, we could achieve on average an overall precision, recall and F-measure of 67%, 71%, and 69% respectively. To empirically study the benefit of our overall framework, we also conduct a user-assisted study which shows that as compared to a standard information retrieval approach, our proposed framework could increase mean average precision from 17% to 71% in retrieving relevant answers to various queries and achieve a Normalized Discounted Cumulative Gain (nDCG) @1 score of 91.2% and nDCG@2 score of 71.6%. © 2011 IEEE.",,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",2011-12-01,Conference Paper,"Gottipati, Swapna;Lo, David;Jiang, Jing",Exclude,out of comments scope
10.1016/j.jss.2022.111515,2-s2.0-84855421322,10.1109/ASE.2011.6100086,AutoODC: Automated generation of Orthogonal Defect Classifications,"Orthogonal Defect Classification (ODC), the most influential framework for software defect classification and analysis, provides valuable in-process feedback to system development and maintenance. Conducting ODC classification on existing organizational defect reports is human intensive and requires experts' knowledge of both ODC and system domains. This paper presents AutoODC, an approach and tool for automating ODC classification by casting it as a supervised text classification problem. Rather than merely apply the standard machine learning framework to this task, we seek to acquire a better ODC classification system by integrating experts' ODC experience and domain knowledge into the learning process via proposing a novel Relevance Annotation Framework. We evaluated AutoODC on an industrial defect report from the social network domain. AutoODC is a promising approach: not only does it leverage minimal human effort beyond the human annotations typically required by standard machine learning approaches, but it achieves an overall accuracy of 80.2% when using manual classifications as a basis of comparison. © 2011 IEEE.",natural language processing | Orthogonal Defect Classification (ODC) | text classification,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",2011-12-01,Conference Paper,"Huang, Li Guo;Ng, Vincent;Persing, Isaac;Geng, Ruili;Bai, Xu;Tian, Jeff",Exclude,out of comments scope
10.1016/j.jss.2022.111515,2-s2.0-84855422163,10.1109/ASE.2011.6100090,Using model checking to analyze static properties of declarative models,"We show how static properties of declarative models can be efficiently analyzed in a symbolic model checker; in particular, we use Cadence SMV to analyze Alloy models by translating Alloy to SMV. The computational paths of the SMV models represent interpretations of the Alloy models. The produced SMV model satisfies its LTL specifications if and only if the original Alloy model is inconsistent with respect to its finite scopes; counterexamples produced by the model checker are valid instances of the Alloy model. Our experiments show that the translation of many frequently used constructs of Alloy to SMV results in optimized models such that their analysis in SMV is much faster than in the Alloy Analyzer. Model checking is faster than SAT solving for static problems when an interpretation can be eliminated by early decisions in the model checking search. © 2011 IEEE.",,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",2011-12-01,Conference Paper,"Vakili, Amirhossein;Day, Nancy A.",Exclude,out of comments scope
10.1016/j.jss.2022.111515,2-s2.0-84855452278,10.1109/ASE.2011.6100091,Finding the merits and drawbacks of software resources from comments,"In order to reuse software resources efficiently, developers need necessary quality guarantee on software resources. However, our investigation proved that most software resources on the Internet did not provide enough quality descriptions. In this paper, we propose an approach to help developers judge a software resource's quality based on comments. In our approach, the software resources' comments on the Internet are automatically collected, the sentiment polarity (positive or negative) of a comment is identified and the quality aspects which the comment talks about are extracted. As a result, the merits and drawbacks of software resources are drew out which could help developers judge a software resource's quality in the process of software resource selection and reuse. To evaluate our approach, we applied our method to a group of open source software and the results showed that our method achieved satisfying precision in merits and drawbacks finding. © 2011 IEEE.",Sentiment Polarity | Software Quality | Software Resource | Software Reuse | User Comment,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",2011-12-01,Conference Paper,"Liu, Changsheng;Zou, Yanzhen;Cai, Sibo;Xie, Bing;Mei, Hong",Exclude,Not a full paper
10.1016/j.jss.2022.111515,2-s2.0-84855446808,10.1109/ASE.2011.6100098,Analyzing temporal API usage patterns,"Software reuse through Application Programming Interfaces (APIs) is an integral part of software development. As developers write client programs, their understanding and usage of APIs change over time. Can we learn from long-term changes in how developers work with APIs in the lifetime of a client program? We propose Temporal API Usage Mining to detect significant changes in API usage. We describe a framework to extract detailed models representing addition and removal of calls to API methods over the change history of a client program. We apply machine learning technique to these models to semi-automatically infer temporal API usage patterns, i.e., coherent addition of API calls at different phases in the life-cycle of the client program. © 2011 IEEE.",API Usability | API Usage | Mining Software Repositories | Software Reuse | Usage Pattern,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",2011-12-01,Conference Paper,"Uddin, Gias;Dagenais, Barthélémy;Robillard, Martin P.",Exclude,out of comments scope
10.1016/j.jss.2022.111515,2-s2.0-84855471774,10.1109/ASE.2011.6100100,A case for alloy annotations for efficient incremental analysis via domain specific solvers,"Alloy is a declarative modelling language based on first-order logic with sets and relations. Alloy formulas are checked for satisfiability by the fully automatic Alloy Analyzer. The analyzer, given an Alloy formula and a scope, i.e. a bound on the universe of discourse, searches for an instance i.e. a valuation to the sets and relations in the formula, such that it evaluates to true. The analyzer translates the Alloy problem to a propositional formula for which it searches a satisfying assignment via an off-the-shelf propositional satisfiability (SAT) solver. The SAT solver performs an exhaustive search and increasing the scope leads to the combinatorial explosion problem. We envision annotations, a meta-data facility used in imperative languages, as a means of augmenting Alloy models to enable more efficient analysis by specifying the priority, i.e. order of solving, of a given constraint and the slover to be used. This additional information would enable using the solutions to a particular constraint as partial solutions to the next in case constraint priority is specified and using a specific solver for reasoning about a given constraint in case a constraint solver is specified. © 2011 IEEE.",,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",2011-12-01,Conference Paper,"Ganov, Svetoslav;Khurshid, Sarfraz;Perry, Dewayne E.",Exclude,out of comments scope
10.1016/j.jss.2022.111515,2-s2.0-84855458675,10.1109/ASE.2011.6100105,Run-time systems failure prediction via proactive monitoring,"In run-time evolving systems, components may evolve while the system is being operated. Unsafe run-time changes may compromise the correct execution of the entire system. Traditional design-time verification techniques difficultly cope with run-time changes, and run-time monitoring may detect disfunctions only too late, when the failure arises. The desire would be to define advanced monitors with the ability to predict and prevent the potential errors happening in the future. In this direction, this paper proposes CASSANDRA, a new approach that by combining design-time and run-time analysis techniques, can ""look ahead"" in the near execution future, and predict potential failures. During run-time we on-the-fly construct a model of the future k-step global state space according to design-time specifications and the current execution state. Consequently, we can run-time check whether possible failures might happen in the future. © 2011 IEEE.",Component-based Software Engineering | Failure Prediction | Proactive run-time Monitoring | Software Evolution,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",2011-12-01,Conference Paper,"Zhang, Pengcheng;Muccini, Henry;Polini, Andrea;Li, Xuandong",Exclude,out of comments scope
