Secondary study DOI,Primary study Scopus EID,Primary study DOI,Title,Abstract,Keywords,Publication venue,Publication date,Publication type,Authors,Ground truth,Reason
10.1016/j.infsof.2022.107145,2-s2.0-85052228223,10.1016/j.compositesa.2018.08.024,Fiber orientation measurement from mesoscale CT scans of prepreg platelet molded composites,"© 2018 Elsevier LtdX-ray computed tomography (CT) analysis is used to measure the heterogeneous fiber orientation fields in a 20 cm3 composite bracket made from prepreg platelet-based molding compound (PPMC). The as-molded mesostructure of the complete geometry is captured using material density gradients in 50 µm resolution CT scans without the need to resolve individual fibers. Fiber collimation and physical density gradients within intact platelets of this material system facilitates nondestructive assessment of average local fiber orientation at the component scale. Microscopy-based validation of the local orientation measurements indicate the accuracy that can be attained utilizing the density-based structure tensor CT analysis method. Local orientation field measurements for the complete geometry can be mapped into a “digital twin” model, for purposes such as experimental performance simulation and validation of molding process orientation state predictions. Composite designers, analysts, and material suppliers can employ this methodology to more confidently utilize PPMCs and morphologically similar composite material systems.",A. Prepreg | B. Directional orientation | D. CT analysis | E. Compression moulding,Composites Part A: Applied Science and Manufacturing,2018-11-01,Article,"Denos, Benjamin R.;Sommer, Drew E.;Favaloro, Anthony J.;Pipes, R. Byron;Avery, William B.",Exclude,
10.1016/j.infsof.2022.107145,2-s2.0-85099806423,10.1016/j.agsy.2020.103046,Digital twins in smart farming,"© 2020 The Author(s)Digital Twins are very promising to bring smart farming to new levels of farming productivity and sustainability. A Digital Twin is a digital equivalent of a real-life object of which it mirrors its behaviour and states over its lifetime in a virtual space. Using Digital Twins as a central means for farm management enables the decoupling of physical flows from its planning and control. As a consequence, farmers can manage operations remotely based on (near) real-time digital information instead of having to rely on direct observation and manual tasks on-site. This allows them to act immediately in case of (expected) deviations and to simulate effects of interventions based on real-life data. This paper analyses how Digital Twins can advance smart farming. It defines the concept, develops a typology of different types of Digital Twins, and proposes a conceptual framework for designing and implementing Digital Twins. The framework comprises a control model based on a general systems approach and an implementation model for Digital Twin systems based on the Internet of Things—Architecture (IoT-A), a reference architecture for IoT systems. The framework is applied to and validated in five smart farming use cases of the European IoF2020 project, focussing on arable farming, dairy farming, greenhouse horticulture, organic vegetable farming and livestock farming.",Farm management systems | Internet of things | Remote sensing and control | Smart agriculture | Virtualization,Agricultural Systems,2021-04-01,Article,"Verdouw, Cor;Tekinerdogan, Bedir;Beulens, Adrie;Wolfert, Sjaak",Include,
10.1016/j.infsof.2022.107145,2-s2.0-85120932554,10.1016/j.digbus.2021.100009,Exploring critical success factors influencing adoption of digital twin and physical internet in electronics industry using grey-DEMATEL approach,"© 2021 The Author(s)Digital twin and physical internet adoption based on advanced digital technologies is gaining significance in the recent times. Digital twin is one of the enabling technologies that link actual physical system with its virtual depiction using advanced digital technologies. In order to leverage its potential, firms have instigated to adopt digital twin and physical internet for real-world applications. Although researches on impact of information technology in supply chains exists, a study on the modelling aspects by analysing critical success factors for adoption of digital twin and physical internet is limited. We have addressed this gap by developing a structural model for identifying the inter-relationships and cause effect parameters of critical success factors for adoption of digital twin and physical internet. Thirteen critical success factors were shortlisted based on literature review and in consultation with experts. An integrated Grey- based, decision making trial and evaluation laboratory (DEMATEL)is used to visualize the causal relationships among critical success factors and verified by applying the proposed model in an electronics manufacturing firm. Sensitivity analysis has been done to check accuracy of results and robustness of the study. The results reveal that top management commitment and support and long, medium and short term planning are the most influential factors impacting the adoption of digital twin and physical internet in electronics industry. Findings of this research provide insights for supply chain managers and academicians by identifying the cause and effect group critical success factors for effective adoption of digital twin and physical internet.",Critical Success factors | Digital Manufacturing | Digital Twin | e-Manufacturing | Grey-DEMATEL,Digital Business,2021-10-01,Article,"Deepu, T. S.;Ravi, V.",Exclude,
10.1016/j.infsof.2022.107145,2-s2.0-85095595917,10.1016/j.measurement.2020.108666,Error identification of measurement software based on digital twin of gear measuring center,"© 2020 Elsevier LtdThe verification of measurement software has become a challenge as more types of workpiece being measured with gear measuring centers and the increasing complexity of measurement software. In this research, the digital twin of a gear measuring center (DTGMC) was constructed as an evaluation platform for various types of measurement software. Various digital workpieces instead of physical artifacts were measured on the DTGMC. Based on this platform, the evaluation methods for the measurement software were discussed, and three experiments were carried out. The involute measurement model was identified using multiple digital workpieces with known errors. The probe compensation algorithm was identified using different radii probes and a pin. Three position compensation algorithms were also verified using loading different motion errors. The results showed that the evaluation methods based on the DTGMC could effectively identify various errors in measurement software, providing a new concept for the independent evaluation of measurement software.",Digital twin of gear measuring center | Entity model | Error identification | Evaluation method | Measurement software,Measurement: Journal of the International Measurement Confederation,2021-03-01,Article,"Lu, Chunxia;Wang, Jianhua;Yin, Peili;Wang, Linyan",Exclude,
10.1016/j.infsof.2022.107145,2-s2.0-85060116834,10.1016/j.cie.2019.01.025,Energy-efficient cyber-physical production network: Architecture and technologies,"© 2019 Elsevier LtdEnergy efficiency has become an integral aspect of today's manufacturing. As manufacturing activities become increasingly distributed while connected in the new era of manufacturing – Industry 4.0, energy-efficient manufacturing strategies and methodologies should be implemented in a global production network. The research work reported in this paper endeavors to develop a feasible solution to implementing energy-efficient manufacturing in such an environment by proposing a technical architecture, integrated with the developed platform, MCloud. The overall technical architecture is discussed in detail, particularly, the proposed Energy-efficient Manufacturing (E2M) module and two-round communication procedure. Feature-based technology was adopted in process planning to assess the technical capability and energy consumption of connected virtual factories. MCloud allows each party in this production network to use local energy consumption models for energy assessment with great flexitity and privacy protection. A case study was presented to demonstrate the way distributed manufacturers collaboratively work on a manufacturing job, proving that the enhanced MCloud can coordinate customized production activities based on energy-saving needs in an Industry 4.0 environment.",Cloud manufacturing | Cyber-physical system | Energy-efficient manufacturing | Industry 4.0 | Production network | Smart manufacturing,Computers and Industrial Engineering,2019-03-01,Article,"Lu, Yuqian;Peng, Tao;Xu, Xun",Include,
10.1016/j.infsof.2022.107145,2-s2.0-85106537747,10.1016/j.jclepro.2021.127278,Digital twins-based remote semi-physical commissioning of flow-type smart manufacturing systems,"© 2021 Elsevier LtdThe COVID-19 has become a global pandemic that dramatically impacted human lives and economic activities. Due to the high risk of getting affected in high-density population areas and the implementation of national emergency measures under the COVID-19 pandemic, both travel and transportation among cities become difficult for engineers and equipment. Consequently, the costly physical commissioning of a new manufacturing system is greatly hindered. As an emerging technology, digital twins can achieve semi-physical simulation to avoid the vast cost of physical commissioning of the manufacturing system. Therefore, this paper proposes a digital twins-based remote semi-physical commissioning (DT-RSPC) approach for open architecture flow-type smart manufacturing systems. A digital twin system is developed to enable the remote semi-physical commissioning. The proposed approach is validated through a case study of digital twins-based remote semi-physical commissioning of a smartphone assembly line. The results showed that combining the open architecture design paradigm with the proposed digital twins-based approach makes the commissioning of a new flow-type smart manufacturing system more sustainable.",COVID-19 pandemic | Digital twins | Manufacturing system commissioning | Remote semi-physical commissioning | Smart manufacturing,Journal of Cleaner Production,2021-07-15,Article,"Leng, Jiewu;Zhou, Man;Xiao, Yuxuan;Zhang, Hu;Liu, Qiang;Shen, Weiming;Su, Qianyi;Li, Longzhang",Include,
10.1016/j.infsof.2022.107145,2-s2.0-85083854199,10.1016/j.jmsy.2020.04.013,Digital twin-based smart assembly process design and application framework for complex products and its case study,"© 2020 The Society of Manufacturing EngineersWith rapid advances in new generation information technologies, digital twin (DT), and cyber-physical system, smart assembly has become a core focus for intelligent manufacturing in the fourth industrial evolution. Deep integration between information and physical worlds is a key phase to develop smart assembly process design that bridge the gap between product assembly design and manufacturing. This paper presents a digital twin reference model for smart assembly process design, and proposes an application framework for DT-based smart assembly with three layers. Product assembly station components are detailed in the physical space layer; two main modules, communication connection and data processing, are introduced in the interaction layer; and we discuss working mechanisms of assembly process planning, simulation, predication, and control management in the virtual space layer in detail. A case study shows the proposed approach application for an experimental simplified satellite assembly case using the DT-based assembly application system (DT-AAS) to verify the proposed application framework and method effectiveness.",Application framework | Assembly process design | Complex product | Cyber-physical system | Digital twin | Smart assembly,Journal of Manufacturing Systems,2021-01-01,Article,"Yi, Yang;Yan, Yuehui;Liu, Xiaojun;Ni, Zhonghua;Feng, Jindan;Liu, Jinshan",Include,
10.1016/j.infsof.2022.107145,2-s2.0-85086717434,10.1016/j.est.2020.101557,Digital twin for battery systems: Cloud battery management system with online state-of-charge and state-of-health estimation,"© 2020 The AuthorsBattery management is critical to enhancing the safety, reliability, and performance of the battery systems. This paper presents a cloud battery management system for battery systems to improve the computational power and data storage capability by cloud computing. With the Internet of Things, all battery relevant data are measured and transmitted to the cloud seamlessly, building up the digital twin for the battery system, where battery diagnostic algorithms evaluate the data and open the window into battery's charge and aging level. The application of equivalent circuit models in the digital twin for battery systems is explored with the development of cloud-suited state-of-charge and state-of-health estimation approaches. The proposed state-of-charge estimation with an adaptive extended H-infinity filter is robust and accurate for both lithium-ion and lead-acid batteries, even with a significant initialization error. Furthermore, a state-of-health estimation algorithm with particle swarm optimization is innovatively exploited to monitor both capacity fade and power fade of the battery during aging. The functionalities and stability of both hardware and software of the cloud battery management system are validated with prototypes under field operation and experimental validation for both stationary and mobile applications.",Battery management system | Cloud computing | Digital twin | Internet of things | State of charge | State of health,Journal of Energy Storage,2020-08-01,Article,"Li, Weihan;Rentemeister, Monika;Badeda, Julia;Jöst, Dominik;Schulte, Dominik;Sauer, Dirk Uwe",Include,
10.1016/j.infsof.2022.107145,2-s2.0-85076349829,10.1016/j.rcim.2019.101917,Digital twin-enabled Graduation Intelligent Manufacturing System for fixed-position assembly islands,"© 2019 Elsevier LtdThe layout of fixed-position assembly islands is widely used in the heavy equipment industry, where the product remains at one assembly island for its entire assembly period, while required workers, equipment, and materials are moved to the island according to the assembly plan. Such layout is not only suitable for producing bulky or fragile products, but also offers considerable flexibility and competitive operational efficiency for products with medium variety and volumes. However, due to inherent complexity of the product, sophisticated assembly operations heavily rely on skilled operators, and the complexity and uncertainty are high and amplified by such massive manual interventions as well as the unique routing patterns of the fixed-position assembly process. Aiming at reducing the complexity and uncertainty, this paper introduces a digital twin-enabled Graduation Intelligent Manufacturing System (DT-GiMS) for fixed-position assembly islands. Inspired by the success of graduation ceremony, an assembly system-Graduation Manufacturing System (GMS) is proposed for fixed-position assembly islands, in which job tickets, setup tickets, operation tickets, and logistics tickets are designed to organize the production activities. Following the concept of digital twin, unified digital representations with appropriate sets of information are created at object level, product level, and system level, respectively. Through Internet of Things (IoT), smart gateway, Web 3D and industrial wearable technologies, vital information including identity, status, geometric model, and production process can be captured and mapped in physical space, and converged and synchronized with their digital representations in twin (cloud) space on a real-time basis. The overall framework of DT-GiMS is presented with physical layer, digital layer, and service layer. Real-time convergence and synchronization among them ensure that right resources are allocated and utilized to the right activities at the right time with enhanced visibility. Considering customer demand and production capacity constraints, real-time ticket pool management mechanisms are proposed to manage production activities in a near-optimal way under DT-GiMS. With the support of cloud-based services provided in service layer in DT-GiMS, managers could easily make production decisions, and onsite operators could efficiently complete their daily tasks with nearly error-free operations with enhanced visibility. A demonstrative case is carried out to verify the effectiveness of the proposed concept and approach.",Cloud-based services | Digital twin | Fixed-position assembly | Intelligent manufacturing system | Real-time synchronization,Robotics and Computer-Integrated Manufacturing,2020-06-01,Article,"Guo, Daqiang;Zhong, Ray Y.;Lin, Peng;Lyu, Zhongyuan;Rong, Yiming;Huang, George Q.",Include,
10.1016/j.infsof.2022.107145,2-s2.0-85076833589,10.1016/j.rcim.2019.101895,Digital twin-driven rapid reconfiguration of the automated manufacturing system via an open architecture model,"© 2019 Elsevier LtdIncreasing individualization demands in products call for high flexibility in the manufacturing systems to adapt changes. This paper proposes a novel digital twin-driven approach for rapid reconfiguration of automated manufacturing systems. The digital twin comprises two parts, the semi-physical simulation that maps data of the system and provides input data to the second part, which is optimization. The results of the optimization part are fed back to the semi-physical simulation for verification. Open-architecture machine tool (OAMT) is defined and developed as a new class of machine tools comprising a fixed standard platform and various individualized modules that can be added and rapidly swapped. Engineers can flexibly reconfigure the manufacturing system for catering to process planning by integrating personalized modules into its OAMTs. Key enabling techniques, including how to twin cyber and physical system and how to quickly bi-level program the production capacity and functionality of manufacturing systems to adapt rapid changes of products, are detailed. A physical implementation is conducted to verify the effectiveness of the proposed approach to achieving improved system performance while minimizing the overheads of the reconfiguration process by automating and rapidly optimizing it.",Cyber-physical system | Digital twin | Industrial internet of things | Open architecture | Reconfigurable manufacturing system | Smart manufacturing,Robotics and Computer-Integrated Manufacturing,2020-06-01,Article,"Leng, Jiewu;Liu, Qiang;Ye, Shide;Jing, Jianbo;Wang, Yan;Zhang, Chaoyang;Zhang, Ding;Chen, Xin",Include,
